run,scheme,seed_imp,seed_model,seed_eval,ate_hat,cate_sd_test,cate_iqr_test,mi_ate_sd,mi_ate_iqr,mi_B,M_imputations,n_test
8,vary_model,202,1284902936,404,0.065769147327512,0.04398493354416531,0.05885096066407866,0.0,0.0,0.0,1,480
9,vary_model,202,693715271,404,0.04455084162349474,0.05337677896748264,0.07206269047290674,0.0,0.0,0.0,1,480
10,vary_model,202,484582550,404,0.06891320977825528,0.04997184916692263,0.06592628560750417,0.0,0.0,0.0,1,480
11,vary_model,202,322551462,404,0.034066533129968386,0.05177410717947487,0.07014887829210018,0.0,0.0,0.0,1,480
12,vary_model,202,819442989,404,0.06484099057196123,0.04679282969901796,0.06272341819849991,0.0,0.0,0.0,1,480
13,vary_model,202,1753072728,404,0.04598557573988666,0.0476078585651465,0.0657685567786851,0.0,0.0,0.0,1,480
14,vary_model,202,861136855,404,0.005324407399217738,0.05060805256572897,0.06952492024674949,0.0,0.0,0.0,1,480
15,vary_model,202,814854448,404,0.07700770260923602,0.05616512491814867,0.08404306457695311,0.0,0.0,0.0,1,480
16,vary_model,202,1235630862,404,0.02291270536591897,0.047959767696287604,0.05927885064382929,0.0,0.0,0.0,1,480
17,vary_model,202,2101845076,404,0.06667205989668773,0.04517820952646381,0.06378310464680963,0.0,0.0,0.0,1,480
18,vary_model,202,842335582,404,0.03011763167523759,0.04829084006794678,0.06871162324315962,0.0,0.0,0.0,1,480
19,vary_model,202,1266997512,404,0.07317239319165021,0.05513718372515631,0.0807267682603365,0.0,0.0,0.0,1,480
20,vary_model,202,943789711,404,0.0627369212821769,0.038375615753006305,0.05176774437577994,0.0,0.0,0.0,1,480
21,vary_model,202,1299348410,404,0.054762912208279405,0.044376044778119385,0.058711327562062016,0.0,0.0,0.0,1,480
22,vary_model,202,957152604,404,0.06618045882722087,0.0502706768948573,0.0678282520394666,0.0,0.0,0.0,1,480
23,vary_model,202,1370087224,404,0.08166430675355674,0.03557935498138968,0.05026898748818632,0.0,0.0,0.0,1,480
24,vary_model,202,1175000481,404,0.07265811872661425,0.04896032263657534,0.06694025197547024,0.0,0.0,0.0,1,480
25,vary_model,202,1452665836,404,0.012151995408446328,0.045331594588852706,0.06819265611730035,0.0,0.0,0.0,1,480
26,vary_model,202,2054636806,404,0.06168059151937147,0.04897212530018799,0.07072489427360962,0.0,0.0,0.0,1,480
27,vary_model,202,323814805,404,0.028217299260108117,0.04850507603037607,0.06782614044287351,0.0,0.0,0.0,1,480
28,vary_model,202,1206101995,404,0.0954964346349902,0.05466479337791838,0.07824791475352125,0.0,0.0,0.0,1,480
29,vary_model,202,945565970,404,0.048011798885079345,0.04788487615499867,0.06844426916850765,0.0,0.0,0.0,1,480
30,vary_model,202,768789384,404,0.03674481007453948,0.050606039593661445,0.06891514858848675,0.0,0.0,0.0,1,480
31,vary_model,202,514459691,404,0.050287068320243974,0.04808738852936642,0.06900640117229066,0.0,0.0,0.0,1,480
32,vary_model,202,112227988,404,0.10443684202598708,0.03651218001152201,0.046988273469368846,0.0,0.0,0.0,1,480
33,vary_model,202,864358513,404,0.09012876396448136,0.04634731628384707,0.059099103443131136,0.0,0.0,0.0,1,480
34,vary_model,202,1774164003,404,0.08521927747615411,0.050009347816548956,0.06574209395845909,0.0,0.0,0.0,1,480
